,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
0,03-2023,"24,687,000","31,185,000","35,899,000","7,482,000","13,660,000","$62,158,000","43,398,000","110,461,000","65,388,000","$332,160,000","12,574,000","42,945,000","56,425,000","97,041,000","8,131,000","52,886,000","$270,002,000","15,728,700","69,568,000","4,336,000","-11,746,000","$332,160,000",AAPL,,,,
1,12-2022,"20,535,000","30,820,000","54,180,000","6,820,000","16,422,000","$56,727,000","42,951,000","114,095,000","60,924,000","$346,747,000","11,483,000","57,918,000","59,893,000","99,627,000","7,992,000","53,107,000","$290,020,000","15,821,950","66,399,000","3,240,000","-12,912,000","$346,747,000",AAPL,,,,
2,09-2022,"23,646,000","24,658,000","60,932,000","4,946,000","21,223,000","$50,672,000","42,117,000","120,805,000","54,428,000","$352,755,000","21,110,000","64,115,000","60,845,000","98,959,000","7,912,000","49,142,000","$302,083,000","15,908,120","64,849,000","-3,068,000","-11,109,000","$352,755,000",AAPL,,,,
3,06-2022,"27,502,000","20,729,000","42,242,000","5,433,000","16,386,000","$58,107,000","40,335,000","131,077,000","52,605,000","$336,309,000","24,991,000","48,343,000","48,811,000","94,700,000","7,728,000","53,629,000","$278,202,000","16,070,750","62,115,000","5,289,000","-9,297,000","$336,309,000",AAPL,,,,
4,03-2022,"28,098,000","23,413,000","45,400,000","5,460,000","15,809,000","$67,399,000","39,304,000","141,219,000","51,959,000","$350,662,000","16,658,000","52,682,000","50,248,000","103,323,000","7,920,000","52,432,000","$283,263,000","16,185,180","61,181,000","12,712,000","-6,494,000","$350,662,000",AAPL,,,,
5,12-2021,"37,119,000","26,794,000","65,253,000","5,876,000","18,112,000","$71,932,000","39,245,000","138,683,000","50,109,000","$381,191,000","16,169,000","74,362,000","49,167,000","106,629,000","7,876,000","55,056,000","$309,259,000","16,319,440","58,424,000","14,435,000","-927,000","$381,191,000",AAPL,,,,
6,09-2021,"34,940,000","27,699,000","51,506,000","6,580,000","14,111,000","$63,090,000","39,440,000","127,877,000","48,849,000","$351,002,000","15,613,000","54,763,000","47,493,000","109,106,000","7,612,000","53,325,000","$287,912,000","16,406,400","57,365,000","5,562,000","163,000","$351,002,000",AAPL,,,,
7,06-2021,"34,050,000","27,646,000","33,908,000","5,178,000","13,641,000","$64,280,000","38,615,000","131,948,000","44,854,000","$329,840,000","16,039,000","40,409,000","43,625,000","105,752,000","7,681,000","52,054,000","$265,560,000","16,530,170","54,989,000","9,233,000","58,000","$329,840,000",AAPL,,,,
8,03-2021,"38,466,000","31,368,000","33,036,000","5,219,000","13,376,000","$69,178,000","37,815,000","134,539,000","43,339,000","$337,158,000","13,003,000","40,127,000","45,660,000","108,642,000","7,595,000","52,953,000","$267,980,000","16,687,630","54,203,000","15,261,000","-286,000","$337,158,000",AAPL,,,,
9,12-2020,"36,010,000","40,816,000","58,620,000","4,973,000","13,687,000","$66,224,000","37,933,000","118,745,000","43,270,000","$354,054,000","12,762,000","63,846,000","48,504,000","99,281,000","7,395,000","56,042,000","$287,830,000","16,788,100","51,744,000","14,301,000","179,000","$354,054,000",AAPL,,,,
10,09-2020,"38,016,000","52,927,000","37,445,000","4,061,000","11,264,000","$65,339,000","36,766,000","100,887,000","42,522,000","$323,888,000","13,769,000","42,296,000","42,684,000","98,667,000","6,643,000","54,490,000","$258,549,000","17,001,800","50,779,000","14,966,000","-406,000","$323,888,000",AAPL,,,,
11,06-2020,"33,383,000","59,642,000","32,075,000","3,978,000","10,987,000","$72,282,000","35,687,000","100,592,000","41,000,000","$317,344,000","18,675,000","35,325,000","35,005,000","94,048,000","6,313,000","55,696,000","$245,062,000","17,102,540","48,696,000","24,136,000","-550,000","$317,344,000",AAPL,,,,
12,03-2020,"40,174,000","53,877,000","30,677,000","3,334,000","15,691,000","$78,425,000","35,889,000","98,793,000","41,965,000","$320,400,000","20,421,000","32,421,000","37,324,000","89,086,000","5,928,000","56,795,000","$241,975,000","17,337,340","48,032,000","33,182,000","-2,789,000","$320,400,000",AAPL,,,,
13,12-2019,"39,771,000","67,391,000","39,946,000","4,097,000","12,026,000","$89,531,000","37,031,000","99,899,000","40,457,000","$340,618,000","15,214,000","45,111,000","36,263,000","93,078,000","5,573,000","55,848,000","$251,087,000","17,501,920","45,972,000","43,977,000","-418,000","$340,618,000",AAPL,,,,
14,09-2019,"48,844,000","51,713,000","45,804,000","4,106,000","12,352,000","$90,488,000","37,378,000","105,341,000","32,978,000","$338,516,000","16,240,000","46,236,000","37,720,000","91,807,000","5,522,000","50,503,000","$248,028,000","17,773,060","45,174,000","45,898,000","-584,000","$338,516,000",AAPL,,,,
15,06-2019,"50,530,000","44,084,000","26,474,000","3,355,000","10,530,000","$96,456,000","37,636,000","115,996,000","33,634,000","$322,239,000","23,482,000","29,115,000","31,673,000","84,936,000","5,434,000","51,143,000","$225,783,000","18,076,720","43,371,000","53,724,000","-639,000","$322,239,000",AAPL,N/A,,,
16,03-2019,"37,988,000","42,104,000","26,278,000","4,884,000","12,092,000","$105,860,000","38,746,000","145,319,000","34,587,000","$341,998,000","22,429,000","30,443,000","35,368,000","90,201,000","5,532,000","52,165,000","$236,138,000","18,404,300","42,801,000","64,558,000","-1,499,000","$341,998,000",AAPL,N/A,,,
17,12-2018,"44,771,000","41,656,000","36,981,000","4,988,000","12,432,000","$117,892,000","39,597,000","158,608,000","34,686,000","$373,719,000","21,741,000","44,293,000","36,703,000","92,989,000","5,546,000","54,555,000","$255,827,000","18,861,120","40,970,000","80,510,000","-3,588,000","$373,719,000",AAPL,N/A,,,
18,09-2018,"25,913,000","40,388,000","48,995,000","3,956,000","12,087,000","$107,147,000","41,304,000","170,799,000","22,283,000","$365,725,000","20,748,000","55,888,000","33,327,000","93,735,000","5,966,000","48,914,000","$258,578,000","18,981,590","40,201,000","70,400,000","-3,454,000","$365,725,000",AAPL,N/A,,,
19,06-2018,"31,971,000","38,999,000","26,367,000","5,936,000","12,488,000","$114,949,000","38,117,000","172,773,000","22,546,000","$349,197,000","17,472,000","38,489,000",N/A,"97,128,000","7,403,000","45,694,000","$234,248,000","19,319,700","38,624,000","79,436,000","-3,111,000","$349,197,000",AAPL,"25,184,000",,,
20,03-2018,"45,059,000","42,881,000","22,408,000","7,662,000","12,043,000","$126,878,000","35,077,000","179,286,000","23,086,000","$367,502,000","20,478,000","34,311,000",N/A,"101,362,000","7,775,000","46,855,000","$240,624,000","19,660,550","38,044,000","91,898,000","-3,064,000","$367,502,000",AAPL,"26,756,000",0,,
21,12-2017,"27,491,000","49,662,000","50,899,000","4,421,000","11,337,000","$140,199,000","33,679,000","207,944,000","13,323,000","$406,794,000","18,478,000","62,985,000",N/A,"103,922,000","8,044,000","43,754,000","$266,595,000","20,296,050","36,447,000","104,593,000","-841,000","$406,794,000",AAPL,"26,281,000","8,038,000",,
22,09-2017,"20,289,000","53,892,000","35,673,000","4,855,000","13,936,000","$134,047,000","33,783,000","194,714,000","18,177,000","$375,319,000","18,473,000","44,242,000","30,551,000","97,207,000","7,548,000","40,415,000","$241,272,000","20,537,250","35,867,000","98,330,000","-150,000","$375,319,000",AAPL,N/A,0,,
23,06-2017,"18,571,000","58,188,000","22,632,000","3,146,000","10,338,000","$132,425,000","29,286,000","184,757,000","10,150,000","$345,173,000","18,475,000","31,915,000",N/A,"89,864,000","7,608,000","38,598,000","$212,748,000","20,660,910","34,445,000","98,525,000","-545,000","$345,173,000",AAPL,"23,304,000","8,105,000",,
24,03-2017,"15,157,000","51,944,000","20,612,000","2,910,000","11,367,000","$134,082,000","27,163,000","189,740,000","7,549,000","$334,532,000","13,991,000","28,573,000",N/A,"84,531,000","7,682,000","39,470,000","$200,450,000","20,855,360","33,579,000","100,925,000","-422,000","$334,532,000",AAPL,"23,096,000","8,090,000",,
25,12-2016,"16,371,000","44,081,000","27,977,000","2,712,000","12,191,000","$132,390,000","26,510,000","185,638,000","7,390,000","$331,141,000","13,992,000","38,510,000",,"73,557,000","7,889,000","37,901,000","$198,751,000","20,986,160","32,144,000","100,001,000","245,000","$331,141,000",AAPL,"23,739,000","8,271,000",,
26,09-2016,"20,484,000","46,671,000","29,299,000","2,132,000","8,283,000","$128,249,000","27,010,000","170,430,000","8,757,000","$321,686,000","11,605,000","37,294,000",,"75,427,000","8,080,000","36,074,000","$193,437,000","21,329,250","31,251,000","96,364,000","634,000","$321,686,000",AAPL,"22,027,000","8,620,000",,
27,06-2016,"18,237,000","43,519,000","19,042,000","1,831,000","11,132,000","$126,541,000","25,448,000","169,764,000","7,862,000","$305,602,000","15,996,000","26,318,000",,"68,939,000","8,352,000","35,572,000","$179,061,000","21,553,770","30,106,000","96,542,000","-107,000","$305,602,000",AAPL,"20,820,000","8,767,000",,
28,03-2016,"21,514,000","33,769,000","19,824,000","2,281,000","10,204,000","$130,457,000","23,203,000","177,645,000","7,745,000","$305,277,000","10,498,000","25,098,000",,"69,374,000","9,461,000","33,859,000","$174,820,000","21,909,700","29,484,000","102,021,000","-1,048,000","$305,277,000",AAPL,"23,208,000","9,092,000",,
29,12-2015,"16,689,000","21,385,000","24,621,000","2,451,000","11,073,000","$128,267,000","22,300,000","177,665,000","7,974,000","$293,284,000","9,759,000","33,312,000",,"53,204,000","8,989,000","32,175,000","$165,017,000","22,178,330","28,253,000","101,494,000","-1,480,000","$293,284,000",AAPL,"24,032,000","9,126,000",,
30,09-2015,"21,120,000","20,481,000","30,343,000","2,349,000","15,085,000","$119,355,000","22,471,000","164,065,000","5,422,000","$290,345,000","10,999,000","35,490,000",,"53,329,000","8,940,000","33,427,000","$170,990,000","22,301,320","27,416,000","92,284,000","-345,000","$290,345,000",AAPL,"25,181,000","9,009,000",N/A,
31,06-2015,"15,319,000","19,384,000","19,907,000","2,042,000","9,291,000","$125,677,000","21,149,000","168,145,000","4,081,000","$273,151,000","6,999,000","26,474,000",,"47,419,000","9,088,000","31,296,000","$147,474,000","22,810,890","26,327,000","98,252,000","1,098,000","$273,151,000",AAPL,"22,724,000","8,823,000","5,010,000",
32,03-2015,"14,489,000","18,607,000","18,164,000","2,396,000","9,094,000","$129,006,000","20,151,000","160,443,000","3,937,000","$261,194,000","3,799,000","23,159,000",,"40,072,000","8,944,000","29,816,000","$132,188,000","23,044,120","25,376,000","100,920,000","2,710,000","$261,194,000",AAPL,"22,827,000","8,772,000","5,141,000",
33,12-2014,"19,478,000","12,985,000","29,976,000","2,283,000","13,635,000","$123,328,000","20,392,000","145,492,000","3,608,000","$261,894,000","3,899,000","38,001,000",,"32,504,000","8,987,000","28,971,000","$138,566,000","23,298,990","24,187,000","97,178,000","1,963,000","$261,894,000",AAPL,"22,724,000","8,999,000","5,046,000",
34,09-2014,"13,844,000","11,233,000","27,219,000","2,111,000","9,806,000","$111,547,000","20,624,000","130,162,000","3,764,000","$231,839,000","6,308,000","30,196,000",,"28,987,000","8,491,000","24,826,000","$120,292,000","23,459,360","23,313,000","87,152,000","1,082,000","$231,839,000",AAPL,"18,453,000","8,758,000","4,318,000",
35,06-2014,"12,977,000","24,828,000","16,841,000","1,594,000","7,825,000","$120,940,000","17,585,000","126,685,000","4,160,000","$222,520,000","2,010,000","20,535,000",,"29,030,000","8,396,000","23,287,000","$101,580,000","23,951,470","22,139,000","98,715,000","86,000","$222,520,000",AAPL,"15,264,000","6,141,000","3,884,000",
36,03-2014,"18,949,000","22,401,000","15,820,000","1,829,000","7,528,000","$120,179,000","15,120,000","109,239,000","5,106,000","$205,989,000",N/A,"18,914,000",,"16,962,000","8,310,000","22,476,000","$85,810,000","24,118,670","21,496,000","98,934,000","-251,000","$205,989,000",AAPL,"15,984,000","5,983,000","4,014,000",
37,12-2013,"14,077,000","26,634,000","25,198,000","2,122,000","8,574,000","$129,684,000","15,488,000","118,131,000","5,091,000","$225,184,000",N/A,"29,588,000",,"16,961,000","8,357,000","21,699,000","$95,500,000","24,975,690","20,559,000","109,431,000","-306,000","$225,184,000",AAPL,"15,824,000","6,127,000","3,742,000",
38,09-2013,"14,259,000","26,287,000","20,641,000","1,764,000","6,882,000","$123,549,000","16,597,000","106,215,000","5,146,000","$207,000,000",N/A,"22,367,000",,"16,960,000","7,435,000","20,208,000","$83,451,000","25,192,660","19,764,000","104,256,000","-471,000","$207,000,000",AAPL,"13,856,000","5,756,000","3,453,000",
39,06-2013,"11,248,000","31,358,000","13,453,000","1,697,000","7,270,000","$123,354,000","16,327,000","104,014,000","5,421,000","$199,856,000",N/A,"15,516,000",,"16,958,000","7,333,000","20,553,000","$76,502,000","25,437,920","19,024,000","104,564,000","-234,000","$199,856,000",AAPL,"13,470,000","5,875,000","3,193,000",
40,03-2013,"12,053,000","27,084,000","13,336,000","1,245,000","6,377,000","$135,490,000","15,026,000","105,550,000","5,294,000","$194,743,000",,"14,912,000",,,"7,265,000","20,868,000","$59,253,000","26,282,170","17,954,000","116,572,000","964,000","$194,743,000",AAPL,"13,331,000","5,536,000","3,242,000",
41,12-2012,"16,154,000","23,666,000","21,534,000","1,455,000","6,644,000","$127,346,000","15,422,000","97,292,000","5,183,000","$196,088,000",,"26,398,000",,,"7,274,000","18,925,000","$68,742,000","26,293,620","17,167,000","109,567,000","612,000","$196,088,000",AAPL,"13,207,000","5,843,000","2,895,000",
42,09-2012,"10,746,000","18,383,000","18,692,000","791,000","6,458,000","$118,210,000","15,452,000","92,122,000","5,478,000","$176,064,000",,"21,175,000",,,"5,953,000","16,664,000","$57,854,000","26,339,380","16,422,000","101,289,000","499,000","$176,064,000",AAPL,"11,414,000","5,359,000","2,583,000",
43,06-2012,"7,945,000","19,709,000","14,298,000","1,122,000","6,560,000","$111,746,000","10,487,000","89,567,000","5,438,000","$162,896,000",,"16,808,000",,,"5,822,000","15,560,000","$51,150,000","26,247,370","15,573,000","95,641,000","532,000","$162,896,000",AAPL,"10,430,000","5,461,000","2,309,000",
44,03-2012,"10,121,000","18,417,000","13,769,000","1,102,000","5,050,000","$102,498,000","8,847,000","81,638,000","4,992,000","$150,934,000",,"17,011,000",,,"5,247,000","13,954,000","$48,436,000","26,181,740","14,850,000","87,124,000","524,000","$150,934,000",AAPL,"9,778,000","4,745,000","2,253,000",
45,12-2011,"10,310,000","19,846,000","16,484,000","1,236,000","4,958,000","$90,054,000","7,816,000","67,445,000","4,281,000","$138,681,000",,"18,221,000",,,"4,886,000","11,833,000","$48,627,000","26,106,360","13,961,000","75,709,000","384,000","$138,681,000",AAPL,"11,500,000","4,368,000","1,937,000",
46,09-2011,"9,815,000","16,137,000","11,717,000","776,000","4,529,000","$76,615,000","7,777,000","55,618,000","3,556,000","$116,371,000",,"14,632,000",,,"4,091,000","10,100,000","$39,756,000","26,023,450","13,331,000","62,841,000","443,000","$116,371,000",AAPL,"9,247,000","4,432,000","2,014,000",
47,06-2011,"12,091,000","16,304,000","11,471,000","889,000","4,251,000","$69,343,000","6,749,000","47,761,000","3,440,000","$106,758,000",,"15,270,000",,,"3,992,000","9,149,000","$37,415,000","25,958,550","12,715,000","56,239,000","389,000","$106,758,000",AAPL,"7,597,000","1,910,000","1,892,000",
48,03-2011,"15,978,000","13,256,000","11,095,000","930,000","4,055,000","$61,477,000","6,241,000","36,533,000","3,885,000","$94,904,000",,"13,714,000",,,"3,591,000","7,870,000","$33,427,000","25,893,130","12,326,000","49,025,000","126,000","$94,904,000",AAPL,"7,022,000","1,248,000","1,683,000",
49,12-2010,"10,734,000","16,243,000","10,874,000","885,000","3,467,000","$54,666,000","5,868,000","32,730,000","2,954,000","$86,742,000",,"14,301,000",,,"3,541,000","7,065,000","$32,076,000","25,795,780","11,502,000","43,050,000","114,000","$86,742,000",AAPL,"5,953,000","1,263,000","1,724,000",
50,03-2023,"26,562,000","77,865,000","37,420,000","2,877,000","19,165,000","$194,683,000","88,132,000","9,415,000","40,833,000","$380,088,000","6,245,000","15,305,000","12,664,000","41,965,000","36,903,000","54,749,000","$185,405,000","7,435,488","92,093,000","108,234,000","-5,644,000","$380,088,000",MSFT,"10,411,000","77,819,000",,
51,12-2022,"15,646,000","83,862,000","35,833,000","2,980,000","19,502,000","$183,136,000","82,755,000","7,097,000","38,618,000","$364,552,000","3,997,000","15,354,000","12,802,000","44,119,000","36,982,000","52,646,000","$181,416,000","7,443,804","90,225,000","99,368,000","-6,457,000","$364,552,000",MSFT,"9,030,000","78,259,000",,
52,09-2022,"22,884,000","84,378,000","31,279,000","4,268,000","18,003,000","$173,566,000","77,037,000","6,839,000","36,829,000","$359,784,000","3,248,000","16,609,000","12,058,000","45,374,000","41,340,000","50,683,000","$186,218,000","7,454,473","88,535,000","92,374,000","-7,343,000","$359,784,000",MSFT,"7,405,000","78,267,000",,
53,06-2022,"13,931,000","90,826,000","44,261,000","3,742,000","16,924,000","$166,542,000","74,398,000","6,891,000","35,045,000","$364,840,000","2,749,000","19,000,000","13,067,000","47,032,000","45,538,000","53,084,000","$198,298,000","7,457,892","86,939,000","84,281,000","-4,678,000","$364,840,000",MSFT,"10,661,000","78,822,000",,
54,03-2022,"12,498,000","92,195,000","32,613,000","3,296,000","13,320,000","$162,924,000","70,298,000","6,907,000","34,761,000","$344,607,000","1,749,000","16,085,000","11,865,000","48,177,000","34,027,000","52,994,000","$181,683,000","7,479,033","85,767,000","79,633,000","-2,476,000","$344,607,000",MSFT,"9,067,000","78,719,000",,
55,12-2021,"20,604,000","104,765,000","33,520,000","3,019,000","12,280,000","$160,010,000","67,214,000","6,994,000","33,610,000","$340,389,000","4,998,000","15,314,000","11,684,000","48,260,000","34,001,000","51,642,000","$180,379,000","7,496,866","84,528,000","75,045,000","437,000","$340,389,000",MSFT,"7,782,000","58,383,000",,
56,09-2021,"19,165,000","111,450,000","27,349,000","3,411,000","12,951,000","$151,978,000","63,772,000","6,393,000","32,678,000","$335,418,000","3,249,000","14,832,000","10,816,000","50,039,000","38,465,000","50,111,000","$183,440,000","7,507,980","83,751,000","66,944,000","1,283,000","$335,418,000",MSFT,"6,894,000","58,249,000",,
57,06-2021,"14,224,000","116,110,000","38,043,000","2,636,000","13,393,000","$141,988,000","59,715,000","5,984,000","26,163,000","$333,779,000","8,072,000","15,163,000","11,666,000","50,074,000","41,525,000","50,246,000","$191,791,000","7,514,891","83,111,000","57,055,000","1,822,000","$333,779,000",MSFT,"10,057,000","57,511,000",,
58,03-2021,"13,702,000","111,705,000","26,322,000","2,245,000","11,640,000","$134,505,000","54,945,000","5,395,000","25,100,000","$308,879,000","8,051,000","13,412,000","10,450,000","50,007,000","30,083,000","49,370,000","$174,374,000","7,531,575","82,308,000","50,735,000","1,462,000","$308,879,000",MSFT,"8,032,000","57,825,000",,
59,12-2020,"14,432,000","117,536,000","27,312,000","1,924,000","12,769,000","$130,236,000","51,737,000","3,794,000","23,859,000","$304,137,000","5,387,000","12,770,000","10,527,000","55,136,000","30,402,000","48,120,000","$173,901,000","7,542,216","81,896,000","44,973,000","3,367,000","$304,137,000",MSFT,"6,838,000","50,774,000",,
60,09-2020,"17,205,000","120,772,000","22,851,000","2,705,000","13,544,000","$123,392,000","47,927,000","3,103,000","22,081,000","$301,001,000","6,497,000","12,509,000","9,476,000","57,055,000","33,476,000","47,482,000","$177,609,000","7,560,496","81,089,000","39,193,000","3,110,000","$301,001,000",MSFT,"5,714,000","50,813,000",,
61,06-2020,"13,576,000","122,951,000","32,011,000","1,895,000","11,482,000","$118,304,000","44,151,000","2,965,000","21,891,000","$301,311,000","3,749,000","12,530,000","10,027,000","59,578,000","36,000,000","47,735,000","$183,007,000","7,567,653","80,552,000","34,566,000","3,186,000","$301,311,000",MSFT,"7,874,000","50,389,000",,
62,03-2020,"11,710,000","125,916,000","22,699,000","1,644,000","8,536,000","$114,501,000","41,221,000","2,660,000","22,144,000","$285,449,000","3,748,000","9,246,000","9,151,000","62,862,000","27,012,000","45,809,000","$170,948,000","7,583,440","79,813,000","32,012,000","2,676,000","$285,449,000",MSFT,"6,254,000","48,919,000",,
63,12-2019,"8,864,000","125,389,000","23,525,000","1,823,000","7,473,000","$110,109,000","40,522,000","2,755,000","23,069,000","$282,794,000","6,247,000","8,811,000","9,131,000","63,361,000","27,343,000","45,584,000","$172,685,000","7,606,047","79,625,000","30,739,000","-255,000","$282,794,000",MSFT,"5,421,000","49,374,000",,
64,09-2019,"13,117,000","123,519,000","19,087,000","2,622,000","7,551,000","$106,061,000","38,409,000","2,684,000","22,345,000","$278,955,000","3,017,000","8,574,000","8,507,000","66,478,000","29,904,000","43,942,000","$172,894,000","7,628,806","78,882,000","27,240,000","-61,000","$278,955,000",MSFT,"4,676,000","49,621,000",,
65,06-2019,"11,356,000","122,463,000","29,524,000","2,063,000","10,146,000","$102,330,000","36,477,000","2,649,000","22,102,000","$286,556,000","5,516,000","9,382,000","9,351,000","66,662,000","32,676,000","43,381,000","$184,226,000","7,635,409","78,520,000","24,150,000","-340,000","$286,556,000",MSFT,"6,830,000","49,776,000",,
66,03-2019,"11,212,000","120,406,000","19,269,000","1,951,000","7,049,000","$94,864,000","33,648,000","2,403,000","17,379,000","$263,281,000","6,515,000","7,544,000","7,837,000","66,585,000","24,251,000","42,249,000","$168,417,000","7,662,818","77,791,000","18,338,000","-1,265,000","$263,281,000",MSFT,"5,764,000","49,964,000",,
67,12-2018,"6,638,000","121,024,000","19,680,000","1,961,000","7,571,000","$92,128,000","32,717,000","2,274,000","16,935,000","$258,859,000","3,516,000","7,563,000","8,297,000","69,653,000","24,285,000","40,899,000","$166,731,000","7,672,214","77,556,000","16,585,000","-2,013,000","$258,859,000",MSFT,"4,624,000","50,059,000",,
68,09-2018,"15,137,000","120,743,000","17,390,000","3,614,000","7,311,000","$85,967,000","31,430,000","2,034,000","16,526,000","$257,619,000","6,497,000","8,511,000","7,953,000","69,733,000","26,704,000","40,127,000","$171,652,000","7,676,219","71,303,000","17,279,000","-2,615,000","$257,619,000",MSFT,"4,271,000","43,434,000",,
69,06-2018,"11,946,000","121,822,000","26,481,000","2,662,000","6,751,000","$82,718,000","29,460,000","1,862,000","14,128,000","$258,848,000","3,998,000","8,617,000","8,744,000","72,242,000","28,905,000","41,044,000","$176,130,000","7,668,217","71,223,000","13,682,000","-2,187,000","$258,848,000",MSFT,"6,103,000","43,736,000",,
70,03-2018,"9,221,000","123,049,000","17,208,000","2,084,000","5,097,000","$79,239,000","27,929,000","2,818,000","13,965,000","$245,497,000","3,677,000","7,623,000","7,500,000","73,480,000","21,370,000","41,643,000","$166,258,000","7,683,197","70,418,000","9,974,000","-1,153,000","$245,497,000",MSFT,"5,149,000","44,126,000",,
71,12-2017,"12,859,000","129,921,000","18,428,000","2,003,000","4,422,000","$78,360,000","26,304,000","3,961,000","13,716,000","$256,003,000","15,912,000","7,876,000","7,787,000","73,348,000","21,309,000","40,510,000","$177,643,000","7,699,793","70,192,000","8,567,000","-399,000","$256,003,000",MSFT,"4,427,000","44,389,000",,
72,09-2017,"6,884,000","131,587,000","14,561,000","3,211,000","4,788,000","$89,647,000","24,809,000","5,343,000","12,927,000","$249,097,000","9,220,000","7,069,000","7,520,000","76,255,000","22,778,000","23,941,000","$159,450,000","7,714,590","69,419,000","19,702,000","526,000","$249,097,000",MSFT,"4,108,000","44,987,000",,
73,06-2017,"7,663,000","125,318,000","22,431,000","2,181,000","5,103,000","$87,711,000","23,734,000","6,023,000","12,631,000","$250,312,000","10,121,000","7,390,000","7,684,000","76,073,000","24,013,000","22,406,000","$162,601,000","7,702,244","69,315,000","17,769,000","627,000","$250,312,000",MSFT,"5,819,000","45,228,000",,
74,03-2017,"6,713,000","119,305,000","12,882,000","1,979,000","5,434,000","$69,729,000","21,962,000","7,381,000","4,146,000","$225,017,000","7,786,000","6,418,000","6,025,000","76,222,000","26,518,000","17,381,000","$155,288,000","7,720,515","68,554,000","531,000","644,000","$225,017,000",MSFT,"4,604,000","45,215,000",,
75,12-2016,"8,468,000","114,313,000","14,343,000","1,961,000","5,864,000","$68,809,000","21,379,000","8,912,000","3,845,000","$224,610,000","25,664,000","7,860,000","6,688,000","59,306,000","26,085,000","15,980,000","$155,801,000","7,727,530","68,177,000","120,000","512,000","$224,610,000",MSFT,"3,982,000","45,525,000",N/A,
76,09-2016,"13,928,000","123,004,000","11,129,000","3,122,000","6,726,000","$70,372,000","19,224,000","10,486,000","3,476,000","$212,524,000","14,536,000","6,506,000","7,123,000","60,154,000","26,304,000","14,340,000","$142,152,000","7,775,350","67,747,000","944,000","1,681,000","$212,524,000",MSFT,"3,621,000","21,429,000",N/A,
77,06-2016,"6,510,000","106,730,000","18,277,000","2,251,000","5,892,000","$71,997,000","18,356,000","10,431,000","3,416,000","$193,468,000","12,904,000","7,192,000","5,949,000","40,557,000","27,468,000","13,640,000","$121,471,000","7,792,516","68,178,000","2,282,000","1,537,000","$193,468,000",MSFT,"5,264,000","21,605,000",N/A,
78,03-2016,"7,170,000","98,382,000","12,247,000","2,450,000","6,598,000","$74,806,000","16,831,000","11,315,000","2,895,000","$181,869,000","5,498,000","7,132,000","5,887,000","40,896,000","20,876,000","14,122,000","$107,063,000","7,860,467","68,012,000","4,954,000","1,840,000","$181,869,000",MSFT,"4,276,000","22,407,000","1,574,000",
79,12-2015,"7,185,000","95,455,000","14,507,000","2,702,000","6,345,000","$76,780,000","15,789,000","11,514,000","2,928,000","$180,098,000","3,750,000","7,375,000","6,447,000","40,679,000","20,929,000","13,700,000","$103,318,000","7,909,303","68,279,000","6,728,000","1,773,000","$180,098,000",MSFT,"3,649,000","22,055,000","1,618,000",
80,09-2015,"5,431,000","93,924,000","11,444,000","3,816,000","5,594,000","$77,445,000","15,046,000","11,438,000","2,869,000","$172,896,000","10,748,000","6,784,000","6,207,000","27,819,000","21,603,000","13,280,000","$95,451,000","7,987,913","68,093,000","7,614,000","1,738,000","$172,896,000",MSFT,"3,450,000","21,887,000","1,447,000",
81,06-2015,"5,595,000","90,931,000","17,908,000","2,902,000","5,461,000","$80,083,000","14,731,000","12,053,000","3,117,000","$174,472,000","7,484,000","6,683,000","6,555,000","27,808,000","23,223,000","13,544,000","$94,389,000","7,997,981","68,465,000","9,096,000","2,522,000","$174,472,000",MSFT,"5,096,000","21,774,000",N/A,
82,03-2015,"7,414,000","88,024,000","12,427,000","2,469,000","6,376,000","$90,132,000","14,375,000","12,019,000","3,200,000","$176,683,000","4,224,000","6,786,000","6,846,000","27,644,000","18,232,000","13,274,000","$86,551,000","8,089,575","68,475,000","18,186,000","3,471,000","$176,683,000",MSFT,"3,902,000","28,691,000","1,688,000",
83,12-2014,"6,426,000","83,823,000","16,186,000","2,053,000","6,173,000","$91,879,000","13,607,000","12,665,000","3,060,000","$174,848,000","10,048,000","7,362,000","6,623,000","18,260,000","19,192,000","12,423,000","$82,969,000","8,203,785","68,765,000","19,731,000","3,383,000","$174,848,000",MSFT,"3,479,000","29,154,000","1,701,000",
84,09-2014,"6,302,000","82,891,000","12,887,000","3,141,000","5,434,000","$90,170,000","13,229,000","13,943,000","3,271,000","$169,656,000","5,248,000","6,960,000","7,130,000","18,472,000","20,713,000","11,781,000","$79,486,000","8,242,853","68,362,000","18,051,000","3,757,000","$169,656,000",MSFT,"3,740,000","26,774,000","1,784,000",
