,year,Cash & Cash Equivalents,Marketable Securities,Receivables,Inventories,Other Current Assets,TOTAL,PPE Net,Investments And Advances,Other Non-Current Assets,TOTAL ASSETS,Short Term Debt,Accounts Payable And Accrued Liabilities,Other Current Liabilities,Long Term Debt,Deferred Revenues,Other Non-Current Liabilities,TOTAL LIABILITIES,"Shares Outstanding, K",Common Shares,Retained Earnings,Other Shareholders' Equity,TOTAL LIABILITIES AND EQUITY,Azione,Accrued Expenses,Intangibles,Income Taxes - Deferred,$0
2432,03-2023,"2,458,000","23,000","3,718,000",,"1,029,000","$12,661,000","1,102,000","424,000","2,091,000","$18,147,000",,"332,000",,"630,000","469,000","1,288,000","$5,486,000","507,477","5,000","12,856,000","-222,000","$18,147,000",CTSH,"2,331,000","7,302,000",,
2433,12-2022,"2,191,000","310,000","3,796,000",,"969,000","$12,309,000","1,101,000","427,000","2,180,000","$17,852,000",,"360,000",,"638,000","398,000","1,359,000","$5,543,000","509,295","5,000","12,588,000","-299,000","$17,852,000",CTSH,"2,407,000","6,878,000",,
2434,09-2022,"2,042,000","689,000","3,686,000",,"900,000","$11,958,000","1,105,000","431,000","2,031,000","$17,347,000",,"367,000",,"636,000","345,000","1,323,000","$5,389,000","513,921","5,000","12,447,000","-511,000","$17,347,000",CTSH,"2,338,000","6,463,000",,
2435,06-2022,"1,768,000","552,000","3,785,000",,"918,000","$11,950,000","1,121,000","443,000","2,053,000","$17,258,000",,"357,000",,"608,000","408,000","1,316,000","$5,308,000","517,785","5,000","12,193,000","-269,000","$17,258,000",CTSH,"2,172,000","6,618,000",,
2436,03-2022,"2,192,000","127,000","3,663,000",,"1,095,000","$11,973,000","1,171,000","458,000","1,956,000","$17,434,000",,"394,000",,"617,000","455,000","1,422,000","$5,461,000","521,174","5,000","11,956,000","-19,000","$17,434,000",CTSH,"2,105,000","6,772,000",,
2437,12-2021,"1,792,000","927,000","3,557,000",,"1,066,000","$11,991,000","1,171,000","463,000","2,038,000","$17,852,000",,"361,000",,"626,000","403,000","1,448,000","$5,861,000","524,535","5,000","11,922,000","37,000","$17,852,000",CTSH,"2,532,000","6,838,000",,
2438,09-2021,"1,664,000","749,000","3,510,000",,"1,072,000","$11,546,000","1,179,000","466,000","1,943,000","$17,232,000",,"351,000",,"636,000","312,000","1,480,000","$5,686,000","525,252","5,000","11,479,000","33,000","$17,232,000",CTSH,"2,418,000","6,649,000",,
2439,06-2021,"1,368,000","482,000","3,419,000",,"1,182,000","$11,205,000","1,225,000","433,000","2,044,000","$16,829,000",,"351,000",,"645,000","356,000","1,533,000","$5,624,000","525,597","5,000","11,086,000","82,000","$16,829,000",CTSH,"2,234,000","6,676,000",,
2440,03-2021,"1,973,000","185,000","3,232,000",,"1,205,000","$11,037,000","1,250,000","439,000","2,047,000","$16,660,000",,"349,000",,"654,000","403,000","1,583,000","$5,623,000","527,412","5,000","10,907,000","81,000","$16,660,000",CTSH,"2,158,000","6,329,000",,
2441,12-2020,"2,680,000","44,000","3,087,000",,"1,040,000","$10,836,000","1,251,000","440,000","2,304,000","$16,923,000",,"389,000",,"663,000","383,000","1,642,000","$6,087,000","530,614","5,000","10,689,000","110,000","$16,923,000",CTSH,"2,519,000","6,077,000",,
2442,09-2020,"4,436,000","139,000","3,118,000",,"926,000","$11,140,000","1,313,000","441,000","2,396,000","$18,787,000",,"420,000",,"2,412,000","285,000","1,597,000","$7,647,000","534,641","5,000","11,142,000","-40,000","$18,787,000",CTSH,"2,340,000","6,018,000",,
2443,06-2020,"4,422,000","160,000","3,208,000",,"741,000","$10,972,000","1,345,000","429,000","2,494,000","$18,216,000",,"359,000",,"2,421,000","319,000","1,537,000","$7,244,000","542,241","5,000","11,072,000","-188,000","$18,216,000",CTSH,"2,290,000","5,417,000",,
2444,03-2020,"3,886,000","396,000","3,220,000",,"823,000","$10,613,000","1,322,000","433,000","2,330,000","$17,429,000",,"289,000",,"2,430,000","354,000","1,441,000","$6,816,000","540,580","5,000","10,831,000","-264,000","$17,429,000",CTSH,"1,994,000","5,019,000",,
